---- Opened the serial port /dev/ttyUSB0 ----
FSR Live: 1.21, 1.17, 1.02, 0.98, 1.04, 0.96, 0.90, 0.90, 0.74, 675.78
FSR Live: 0.15, 17.29, 0.15, 0.21, 0.14, 0.06, 0.08, 0.08, 0.14, 7.70
FSR Live: 1.09, 1.15, 0.81, 0.90, 0.83, 0.83, 0.73, 0.73, 0.63, 556.86
FSR Live: 1.34, 1.15, 1.12, 1.20, 1.14, 0.96, 1.05, 0.93, 0.91, 783.86
FSR Live: 0.51, 0.46, 0.39, 0.32, 0.37, 0.29, 0.21, 0.25, 0.22, 118.45
FSR Live: 1.39, 1.35, 1.26, 1.25, 1.21, 1.16, 1.19, 1.08, 1.04, 826.14
FSR Live: 1.56, 1.42, 1.29, 1.16, 1.17, 1.12, 1.23, 1.12, 1.10, 868.61
FSR Live: 1.48, 1.49, 1.27, 1.21, 1.21, 1.09, 1.21, 1.06, 1.12, 860.69
FSR Live: 1.50, 1.49, 1.30, 1.26, 1.24, 1.16, 1.10, 1.08, 1.11, 872.64
FSR Live: 1.56, 1.54, 1.15, 1.26, 1.39, 1.09, 1.17, 1.06, 1.09, 854.58
FSR Live: 1.41, 1.33, 1.16, 1.20, 1.23, 1.12, 1.10, 0.99, 1.04, 813.14
FSR Live: 1.36, 1.35, 1.11, 1.24, 1.19, 1.04, 1.10, 1.06, 1.06, 823.54
FSR Live: 1.50, 1.42, 1.26, 1.20, 1.14, 1.21, 1.08, 0.88, 1.01, 795.28
FSR Live: 1.52, 1.41, 1.17, 1.12, 1.06, 1.19, 1.08, 0.93, 1.10, 801.35
FSR Live: 1.44, 1.29, 1.16, 1.20, 1.17, 1.08, 1.12, 1.06, 1.01, 819.38
FSR Live: 1.58, 1.41, 1.17, 1.19, 1.16, 1.06, 1.11, 0.93, 1.01, 789.25
FSR Live: 1.49, 1.37, 1.20, 1.15, 1.09, 1.05, 0.96, 1.09, 1.08, 808.13
FSR Live: 1.42, 1.34, 1.23, 1.11, 1.00, 1.02, 1.17, 0.94, 0.91, 781.97
FSR Live: 1.26, 1.37, 1.21, 1.16, 1.14, 1.06, 1.09, 1.05, 0.91, 774.09
FSR Live: 1.36, 1.44, 1.17, 1.19, 1.24, 1.00, 1.08, 1.01, 0.98, 771.81
FSR Live: 1.50, 1.29, 1.10, 1.16, 1.12, 1.12, 1.16, 0.98, 1.00, 791.49
FSR Live: 1.27, 1.34, 1.15, 1.09, 1.09, 1.01, 1.11, 0.96, 0.90, 748.53
FSR Live: 1.45, 1.42, 1.17, 1.04, 1.09, 1.02, 1.06, 1.00, 0.98, 741.70
FSR Live: 1.25, 1.26, 0.99, 0.98, 0.83, 0.75, 0.91, 0.91, 0.88, 664.46
FSR Live: 1.33, 1.25, 1.00, 0.99, 0.89, 0.96, 0.94, 0.85, 0.80, 671.95
FSR Live: 1.12, 1.20, 0.98, 1.00, 0.90, 1.00, 0.83, 0.91, 0.73, 644.51
FSR Live: 1.41, 1.51, 1.27, 1.21, 1.30, 1.11, 1.11, 1.04, 0.96, 811.60
FSR Live: 1.59, 1.51, 1.14, 1.17, 1.00, 1.04, 1.06, 0.94, 1.02, 794.79
FSR Live: 1.35, 1.40, 1.11, 1.12, 0.99, 1.06, 1.08, 1.05, 0.95, 756.58
FSR Live: 1.19, 1.27, 0.94, 0.91, 0.86, 0.88, 0.84, 0.68, 0.86, 600.75
FSR Live: 1.35, 1.34, 1.10, 1.17, 1.15, 1.05, 1.02, 0.90, 0.89, 731.26
FSR Live: 1.21, 1.37, 1.01, 1.15, 1.01, 1.04, 1.02, 0.95, 0.94, 749.19
